Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-19.56%,164.59%,-15.78%
,ebitda margin growth,27.38%,1.24%,-4.2%,-36.32%
,net income growth,55%,1.73%,-6%,3%
,revenue growth,9.06%,-4.07%,2%,8%
,roce,37.83%,4.4%,-1.2%,14.16%
,roe,55.02%,-1.5%,8.01%,-63.58%
