Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-33.44%,19.9%,-55.11%
,ebitda margin growth,12.65%,-3.33%,-9.46%,-38.89%
,net income growth,-18.96%,18.1%,1%,1%
,revenue growth,-5.96%,6.93%,0%,9%
,roce,15.58%,-8.7%,-38.02%,12.57%
,roe,-18.96%,8%,8.59%,-70.86%
