Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,111.89%,221.11%,189.03%
,ebitda margin growth,-1.47%,15.37%,14.46%,-14.85%
,net income growth,-5.97%,48.45%,30%,34%
,revenue growth,4.27%,18.79%,46%,42%
,roce,-1.73%,7.53%,31.83%,32.06%
,roe,-5.94%,-5.12%,28.31%,-28.42%
