Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1905,2286,2256,2105,2234,2436,2594,2236,2488,2570,2711,2427
Expenses,1877,2243,2672,2004,2145,2318,2804,2077,2353,2408,3008,2313
Operating Profit,28,43,-415,101,89,118,-209,159,135,162,-297,114
OPM %,1.4,1.9,-18,4.8,4,4.9,-8,7,5,6,-11,4.7
Other Income,0,0,468,0,0,0,325,1,1,1,470,1
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,28,43,53,101,89,119,116,161,136,163,173,115
Tax %,0,0,0,0,0,0,0,14,14,14,13,25
Net Profit,28,43,53,101,89,119,116,138,117,140,149,86
EPS in Rs,0.32,0.49,0.6,1.1,0.97,1.29,1.25,1.5,1.26,1.52,1.62,0.93
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,,
---,---,---,---,---,---,---,---,,,,,
Sales,2252,3841,5885,8147,9370,10005,10196,,,,,
Expenses,2366,4124,5835,8416,9250,9825,10082,,,,,
Operating Profit,-114,-283,50,-269,120,180,114,,,,,
OPM %,-5,-7,0.9,-3.3,1.3,1.8,1.1,,,,,
Other Income,0,0,0,468,325,472,472,,,,,
Interest,0,0,0,0,0,0,0,,,,,
Depreciation,9,12,15,18,20,21,0,,,,,
Profit before tax,-123,-296,36,182,425,632,586,,,,,
Tax %,0,0,0,0,0,14,—,,,,,
Net Profit,-123,-296,36,182,425,544,492,,,,,
EPS in Rs,-1.49,-3.44,0.41,2.08,4.6,5.89,5.33,,,,,
Dividend Payout %,0,0,0,0,0,0,—,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Equity Capital,825,859,874,875,923,924,,,,,,
Reserves,402,1119,1565,1844,3365,3738,,,,,,
Borrowings,0,0,0,350,350,350,,,,,,
Other Liabilities,4777,8070,11050,13889,16823,19940,,,,,,
Total Liabilities,6004,10048,13490,16958,21461,24952,,,,,,
Fixed Assets,22,125,161,173,215,265,,,,,,
CWIP,81,24,1,2,1,3,,,,,,
Investments,5430,9247,12389,15395,19409,22591,,,,,,
Other Assets,471,652,938,1388,1835,2093,,,,,,
Total Assets,6004,10048,13490,16958,21461,24952,,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Cash from Operating Activity,1563,2479,2250,1720,1604,2026,,,,,,
Cash from Investing Activity,-1637,-3487,-2514,-1986,-2837,-2019,,,,,,
Cash from Financing Activity,159,995,397,342,1092,-28,,,,,,
Net Cash Flow,86,-13,133,77,-141,-22,,,,,,
Free Cash Flow,1536,2429,2229,1704,1587,2009,,,,,,
CFO/OP,-1374,-875,4456,-641,1338,1169,,,,,,
Item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,,
---,---,---,---,---,---,---,,,,,,
Debtor Days,0,0,0,0,0,0,,,,,,
Cash Conversion Cycle,0,0,0,0,0,0,,,,,,
Working Capital Days,-723,-719,-644,-576,-592,-658,,,,,,
ROCE %,—,-18,2,5,11,13,,,,,,
