Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,522.44%,—,—
,ebitda margin growth,33.33%,—,—,—
,net income growth,40.84%,40%,-12%,-7%
,revenue growth,7.18%,-3%,0%,11%
,roce,36.87%,—,—,—
,roe,40.82%,—,—,—
