Item,Metric,QoQ,1Y
,cash flow growth,—,75.28%
,ebitda margin growth,10.93%,-13.75%
,net income growth,42.55%,-5.16%
,revenue growth,-21.17%,43.8%
,roce,11.33%,4.55%
,roe,42.55%,-21.56%
