Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,7.59%,22.12%,-11.63%
,ebitda margin growth,27.73%,-20.46%,-15.82%,—
,net income growth,70.14%,102.68%,149%,51%
,revenue growth,32.61%,28.43%,16%,4%
,roce,28.12%,-54.18%,-9.32%,7.63%
,roe,70.15%,-79.35%,10.78%,578.05%
