Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-22.89%,13.34%,42.21%
,ebitda margin growth,-0.09%,7.78%,0.82%,-10.31%
,net income growth,0.68%,55.61%,10%,-6%
,revenue growth,3.91%,8.72%,5%,9%
,roce,10.41%,53.37%,-30.6%,11.38%
,roe,0.68%,43.95%,8.09%,-43.78%
