Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,128.44%,—,209.01%
,ebitda margin growth,44.58%,-26.81%,-26.59%,-251.18%
,net income growth,76.83%,24.7%,41%,16%
,revenue growth,-23.83%,3.4%,7%,0%
,roce,54.18%,-27.73%,-52.96%,4.33%
,roe,76.95%,21.21%,2.75%,-108.04%
