Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,10716,10673,10607,10508,10932,11117,11015,11022,11195,11323,11332,11689
Expenses,6435,6324,6274,6304,6383,6405,6356,6410,6511,6506,6443,6655
Operating Profit,4282,4349,4333,4205,4550,4712,4659,4612,4684,4817,4889,5034
OPM %,40,41,41,40,42,42,42,42,42,43,43,43
Other Income,34,780,32,256,300,250,216,142,140,1271,57595,1806
Interest,6569,6518,6280,5519,6614,5940,6471,5893,4784,5828,4990,5120
Depreciation,5667,5598,5751,5369,5404,5629,5571,5472,5567,5550,5518,5467
Profit before tax,-7920,-6987,-7666,-6427,-7168,-6607,-7167,-6611,-5527,-5290,51976,-3747
Tax %,10,0,0,0,0,0,0,0,0,0,0,0
Net Profit,-8738,-6986,-7675,-6432,-7176,-6609,-7167,-6608,-5524,-5286,51970,-3754
EPS in Rs,-1.79,-1.44,-1.53,-0.95,-1.03,-0.95,-1,-0.61,-0.51,-0.49,4.8,-0.35
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,28279,37092,44958,41952,38516,42177,42652,43572,44873,45539,,
Expenses,22224,32976,30042,25006,22547,25424,25580,25524,26014,26115,,
Operating Profit,6054,4116,14916,16946,15968,16753,17072,18048,18859,19424,,
OPM %,21,11,33,40,41,40,40,41,42,43,,
Other Income,703,1789,-36964,-19563,363,354,917,1100,59292,60812,,
Interest,4847,9545,15393,17998,20981,23354,25766,24543,21495,20722,,
Depreciation,8409,14536,24356,23638,23584,23050,22634,21973,22108,22102,,
Profit before tax,-6499,-18175,-61797,-44253,-28234,-29298,-30410,-27368,34548,37412,,
Tax %,-36,-20,20,0,0,0,3,0,0,—,,
Net Profit,-4168,-14604,-73878,-44233,-28245,-29301,-31238,-27384,34552,37406,,
EPS in Rs,-2.91,-5.08,-25.71,-15.39,-8.79,-6.02,-6.23,-3.84,3.19,3.45,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,3605,4359,8736,28735,28735,32119,48680,50120,71393,108343,,
Reserves,21127,22903,50899,-22756,-66963,-94084,-123039,-154287,-141713,-144101,,
Borrowings,55055,57985,125940,114996,201720,213761,237766,243809,233229,192528,,
Other Liabilities,16881,13264,44078,105942,39986,42233,43836,45355,34946,34860,,
Total Liabilities,96668,98511,229652,226918,203478,194029,207243,184997,197855,191630,,
Fixed Assets,76763,79692,177800,185836,167490,156819,156255,140125,141320,143086,,
CWIP,7535,3585,5103,1138,606,364,17876,18189,18213,15274,,
Investments,6378,7290,8239,1979,4,5,6,0,0,107,,
Other Assets,5991,7944,38511,37964,35378,36841,33105,26683,38322,33163,,
Total Assets,96668,98511,229652,226918,203478,194029,207243,184997,197855,191630,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,10476,5332,5348,7328,15640,17387,18869,20826,9290,19411,,
Cash from Investing Activity,-15556,-9303,-1640,-2698,1075,-5730,-5414,-1907,-16248,-6104,,
Cash from Financing Activity,4506,3925,-2949,-5019,-16731,-10554,-14680,-18980,7047,-11458,,
Net Cash Flow,-574,-46,758,-389,-17,1103,-1224,-61,89,1849,,
Free Cash Flow,5144,-3269,-2238,-474,10534,11395,13332,19296,-930,8597,,
CFO/OP,109,95,123,33,88,100,105,105,49,101,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,13,11,32,25,22,23,19,19,17,16,,
Cash Conversion Cycle,13,11,32,25,22,23,19,19,17,16,,
Working Capital Days,-148,-92,-430,-667,-474,-453,-407,-358,-294,-192,,
ROCE %,4,-2,-8,-5,-4,-5,-4,-4,-2,-2,,
