Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,38.73%,39.29%,399.29%
,ebitda margin growth,-17.7%,-6.31%,-1.75%,70.4%
,net income growth,-22.16%,12.22%,34%,91%
,revenue growth,10.92%,21.17%,24%,42%
,roce,-22.87%,-1.76%,-0.21%,23.84%
,roe,-22.2%,-6.74%,19.03%,177.11%
