Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,0%,0%,0%,0%,0%,0%,0%,0%
FIIs,0%,6.18%,4.9%,7.37%,12.24%,16.07%,14.59%,13.96%
DIIs,0%,7.75%,9.33%,13.54%,15.95%,22.53%,25.45%,27.38%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,0%,16.33%,18.14%,10.16%,9.6%,8.7%,8.71%,10.76%
Others,100%,69.74%,67.63%,68.93%,62.21%,52.7%,51.25%,47.89%
No. of Shareholders,5232,423592,504712,513632,522922,536236,536096,570439
