Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,898,923,1016,1010,1153,1271,1642,1310,1677,1896,2119,1815
Expenses,849,874,925,953,1084,1196,1421,1198,1521,1724,1764,1665
Operating Profit,49,49,91,56,69,75,221,112,156,172,355,149
OPM %,5,5,9,6,6,6,13,9,9,9,17,8
Other Income,72,82,76,74,75,72,114,73,69,62,71,100
Interest,2,1,3,4,2,2,1,6,4,4,3,4
Depreciation,10,10,10,10,11,11,10,12,12,12,13,14
Profit before tax,107,119,153,115,131,134,324,167,209,218,411,232
Tax %,25,26,27,24,25,27,25,28,27,22,26,25
Net Profit,81,88,112,87,98,98,244,120,154,171,303,173
EPS in Rs,7.05,7.7,9.74,7.61,8.53,8.57,21.32,10.49,13.43,14.91,26.47,15.09
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1347,1386,1433,1141,1754,2561,3593,5076,7002,7507,,
Expenses,1362,1344,1391,1060,1613,2412,3357,4654,6207,6674,,
Operating Profit,-15,42,42,81,141,149,235,422,795,833,,
OPM %,-1.1,3,2.9,7,8,6,7,8,11,11,,
Other Income,179,169,215,165,154,202,300,335,274,301,,
Interest,8,5,3,10,2,7,13,11,16,14,,
Depreciation,29,27,30,29,36,39,41,42,49,51,,
Profit before tax,128,179,224,207,257,305,481,703,1005,1070,,
Tax %,28,39,27,26,26,25,26,25,26,—,,
Net Profit,92,110,163,153,190,228,357,527,748,801,,
EPS in Rs,8.07,9.6,14.27,13.4,16.55,19.91,31.19,46.04,65.29,69.9,,
Dividend Payout %,55,72,50,37,35,31,30,30,27,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,124,115,115,115,115,115,115,115,115,115,,
Reserves,959,907,924,926,1023,1143,1299,1559,1965,2512,,
Borrowings,25,0,0,0,4,11,312,66,10,37,,
Other Liabilities,3458,3302,3152,4355,5656,6374,9057,8524,8274,7982,,
Total Liabilities,4567,4323,4191,5395,6797,7643,10783,10263,10362,10645,,
Fixed Assets,358,389,302,304,340,501,508,493,515,576,,
CWIP,23,16,34,52,151,10,6,25,28,24,,
Investments,0,0,2,54,826,197,234,0,0,0,,
Other Assets,4185,3918,3852,4986,5480,6936,10036,9746,9819,10045,,
Total Assets,4567,4323,4191,5395,6797,7643,10783,10263,10362,10645,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,—,-74,-112,628,515,-356,1450,-707,16,-290,,
Cash from Investing Activity,—,267,198,245,-1173,429,-1666,1056,170,527,,
Cash from Financing Activity,—,-193,-89,-153,-62,-72,220,-358,-187,-223,,
Net Cash Flow,—,0,-3,720,-720,0,4,-9,-1,13,,
Free Cash Flow,—,-124,-164,560,351,-411,1408,-755,-51,-367,,
CFO/OP,—,748,-564,1200,701,-204,1023,-248,45,-4,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,79,55,58,136,57,31,7,20,19,64,,
Inventory Days,383,727,168,1590,606,458,662,648,368,307,,
Days Payable,290,968,177,1922,592,159,266,161,119,164,,
Cash Conversion Cycle,172,-186,48,-196,71,330,404,507,267,206,,
Working Capital Days,-705,-468,-392,-533,-1012,-660,-546,-276,-169,-80,,
ROCE %,3,12,18,22,21,20,20,27,37,43,,
