Item,Metric,QoQ,1Y,3Y
,cash flow growth,—,40.48%,44.16%
,ebitda margin growth,-50.53%,2.23%,4.05%
,net income growth,-71.58%,744.86%,106%
,revenue growth,-27.07%,13.59%,21%
,roce,-57.81%,14.09%,-71.53%
,roe,-71.6%,373.48%,2.55%
