Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,42.92%,138.71%,5.13%
,ebitda margin growth,-19.91%,-7.84%,-21.98%,13.55%
,net income growth,-18.87%,-12.35%,-1%,20%
,revenue growth,-6.18%,0.54%,7%,13%
,roce,-19.53%,-18.39%,-29.67%,24.09%
,roe,-18.87%,-25.76%,34.99%,-35.25%
