Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,392,296,401,254,294,390,500,486,731,512,636,655
Expenses,285,216,308,201,214,266,356,362,596,385,498,493
Operating Profit,107,79,93,53,80,124,144,124,136,127,137,162
OPM %,27,27,23,21,27,32,29,26,19,25,22,25
Other Income,3,2,12,6,2,-4,6,5,8,2,3,13
Interest,20,25,26,22,27,32,31,36,36,35,42,49
Depreciation,20,20,21,21,22,29,31,31,32,34,43,56
Profit before tax,71,36,58,16,34,59,88,63,76,60,56,70
Tax %,31,28,30,25,10,9,29,23,24,-1,0,27
Net Profit,49,26,40,12,31,54,63,48,57,61,56,51
EPS in Rs,3.78,1.68,2.82,0.36,1.52,2.56,4.05,3.1,3.9,4.31,3.75,3.39
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,502,529,811,1074,1602,1475,1437,2365,2535,,,
Expenses,408,394,617,769,1171,1094,1036,1840,1972,,,
Operating Profit,93,135,194,305,431,381,401,526,563,,,
OPM %,19,25,24,28,27,26,28,22,22,,,
Other Income,19,11,26,8,10,30,11,17,26,,,
Interest,24,45,69,31,63,89,112,149,162,,,
Depreciation,23,29,52,60,71,80,102,140,165,,,
Profit before tax,66,72,100,222,308,242,198,254,261,,,
Tax %,24,26,30,31,30,31,19,13,—,,,
Net Profit,49,53,70,152,217,167,160,222,225,,,
EPS in Rs,9.85,10.64,7.04,15.18,16.83,11.71,8.49,14.94,15.35,,,
Dividend Payout %,0,0,7,7,15,11,9,10,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,50,50,100,100,107,110,110,114,,,,
Reserves,432,515,1473,1627,2265,2651,2740,3188,,,,
Borrowings,694,847,423,836,822,1069,1373,1867,,,,
Other Liabilities,146,252,301,327,584,772,1045,2843,,,,
Total Liabilities,1323,1664,2298,2891,3778,4602,5269,8013,,,,
Fixed Assets,681,977,1115,1202,1417,1501,2185,3713,,,,
CWIP,191,101,43,44,120,609,216,114,,,,
Investments,0,0,0,149,67,67,9,19,,,,
Other Assets,451,586,1140,1496,2173,2424,2860,4167,,,,
Total Assets,1323,1664,2298,2891,3778,4602,5269,8013,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,39,95,1,-171,292,59,-30,334,,,,
Cash from Investing Activity,-250,-178,-193,-412,-523,-392,-330,-820,,,,
Cash from Financing Activity,206,102,416,384,371,395,223,621,,,,
Net Cash Flow,-6,19,224,-199,140,62,-137,135,,,,
Free Cash Flow,-209,-85,-144,-318,232,-644,-440,-220,,,,
CFO/OP,55,77,10,-44,84,28,3,72,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,88,89,92,95,95,143,186,148,,,,
Inventory Days,277,515,530,852,483,627,876,490,,,,
Days Payable,105,226,215,225,167,247,348,261,,,,
Cash Conversion Cycle,260,379,408,722,410,524,715,377,,,,
Working Capital Days,56,21,168,218,153,138,160,108,,,,
ROCE %,—,9,10,11,13,9,7,7,,,,
