Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,107.24%,42.58%,442.68%
,ebitda margin growth,64.16%,-19.72%,-20.97%,-13.66%
,net income growth,285.32%,-54.45%,-21%,-7%
,revenue growth,19.66%,-2.65%,12%,25%
,roce,98.4%,-33.11%,-16.32%,13.59%
,roe,285.21%,-57.94%,10.59%,-69.68%
