Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,12192,12381,11983,12653,13291,13675,12959,13851,14478,15521,14612,15300
Expenses,9013,8904,8948,9045,9352,9666,9243,9550,9951,10572,10658,10882
Operating Profit,3179,3477,3035,3608,3939,4009,3716,4302,4527,4948,3954,4418
OPM %,26,28,25,29,30,29,29,31,31,32,27,29
Other Income,294,180,504,533,354,149,251,-354,470,89,458,520
Interest,49,35,74,62,69,52,49,75,100,78,86,100
Depreciation,633,622,650,655,626,631,664,701,730,732,775,739
Profit before tax,2791,3000,2816,3424,3598,3476,3254,3173,4168,4227,3551,4099
Tax %,14,14,5,16,16,16,34,27,25,20,23,29
Net Profit,2385,2561,2659,2861,3037,2913,2154,2293,3125,3381,2710,2901
EPS in Rs,9.9,10.52,11.06,11.82,12.67,12.1,8.96,9.5,13,14.04,11.31,12.06
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,26489,29066,32838,33498,38654,43886,48497,52578,58462,59911,,
Expenses,20858,22689,25855,25028,28397,32235,35479,37464,41961,42063,,
Operating Profit,5631,6377,6983,8470,10258,11650,13018,15114,16501,17847,,
OPM %,21,22,21,25,27,27,27,29,28,30,,
Other Income,-135,-258,382,-3449,-3505,459,865,1444,1895,1537,,
Interest,518,555,303,141,127,172,238,231,339,364,,
Depreciation,1500,1753,2053,2080,2144,2529,2557,2575,2938,2976,,
Profit before tax,3479,3810,5010,2799,4481,9408,11088,13752,15119,16045,,
Tax %,26,16,16,18,24,9,13,20,24,—,,
Net Profit,2542,3208,4172,2272,3389,8513,9610,10965,11509,12117,,
EPS in Rs,8.73,11.11,15.69,12.1,13.64,35.32,39.91,45.55,47.84,50.41,,
Dividend Payout %,23,25,25,62,73,33,34,35,33,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,240,240,240,240,240,240,240,240,240,240,,
Reserves,36400,38074,41169,45025,46223,47771,55755,63427,71978,83330,,
Borrowings,9832,10385,10514,8315,3869,1290,6886,3274,2362,4627,,
Other Liabilities,14624,15598,12666,14615,17291,20474,17831,18387,17328,20210,,
Total Liabilities,61095,64297,64590,68194,67622,69776,80712,85328,91908,108407,,
Fixed Assets,17675,18853,21837,22847,21553,22665,24065,23248,22586,32822,,
CWIP,2801,2465,1411,1220,1567,1287,4973,5354,6644,3052,,
Investments,1192,7143,7903,10143,9612,12849,14824,15026,18354,24723,,
Other Assets,39427,35837,33439,33984,34890,32975,36849,41700,44324,47811,,
Total Assets,61095,64297,64590,68194,67622,69776,80712,85328,91908,108407,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,7082,3907,2196,6555,6170,8985,4959,12135,14072,12419,,
Cash from Investing Activity,-4186,-3104,-310,-2225,407,-5556,-7220,-763,-5183,-10405,,
Cash from Financing Activity,-2285,-1539,-2731,-5715,-5980,-5193,2376,-6710,-7906,-2513,,
Net Cash Flow,611,-736,-844,-1386,596,-1765,115,4662,983,-498,,
Free Cash Flow,3492,2013,-966,5105,5097,7550,2895,9964,12005,8906,,
CFO/OP,90,83,48,113,85,78,56,105,96,89,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,83,108,112,105,99,99,95,85,91,97,,
Inventory Days,307,338,366,311,378,315,360,338,348,363,,
Days Payable,197,234,192,142,167,158,194,194,210,232,,
Cash Conversion Cycle,193,212,285,274,310,255,261,229,228,228,,
Working Capital Days,-4,-31,31,51,51,47,40,55,65,54,,
ROCE %,20,10,10,10,13,17,16,17,20,21,,
