Item,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,74.96%,74.96%,74.96%,74.96%,70.39%,70.39%,70.39%,70.39%,70.39%,70.39%,63.39%
FIIs,6.13%,5.86%,6.55%,7.59%,9.96%,9.9%,9.08%,8.5%,8.38%,7.61%,7.5%
DIIs,14.35%,16.63%,15.11%,14.09%,15.7%,15.82%,16.24%,17.71%,18.27%,19.14%,25.91%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,3.02%,2.19%,2.96%,2.93%,3.47%,3.39%,3.82%,3.03%,2.58%,2.49%,2.75%
Others,1.54%,0.36%,0.42%,0.43%,0.48%,0.51%,0.47%,0.36%,0.38%,0.37%,0.45%
No. of Shareholders,93176,34841,37585,49974,61888,61774,69946,65567,57647,57685,60383
