Item,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,20.43%,20.29%,19.02%,19.02%
FIIs,67.36%,65.63%,55.87%,55.29%
DIIs,6.13%,5.7%,10.63%,11.43%
Government,0%,0%,0%,0%
Public,4.69%,6.18%,6.84%,7.29%
Others,1.39%,2.2%,7.65%,6.97%
No. of Shareholders,57,209972,206338,200993
