Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-1.33%,-41.16%,100.88%
,ebitda margin growth,84.8%,4.95%,24.48%,18.97%
,net income growth,92.72%,7.23%,3%,10%
,revenue growth,58.89%,3.56%,-3%,4%
,roce,94.19%,-8.3%,3.76%,24.09%
,roe,92.7%,-8.2%,16.19%,-27.21%
