Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,497,508,546,542,579,597,636,628,667,674,715,709
Expenses,130,134,139,138,133,142,170,168,170,170,199,185
Financing Profit,163,157,186,169,198,196,202,188,222,230,243,231
Financing Margin %,33,31,34,31,34,33,32,30,33,34,34,33
Other Income,1,1,1,0,1,1,1,0,0,0,0,0
Interest,204,217,222,235,249,259,265,271,276,274,273,293
Depreciation,8,9,9,9,9,9,10,9,11,11,12,11
Profit before tax,157,150,177,161,190,188,193,179,211,219,231,220
Tax %,22,22,20,22,22,22,20,22,22,22,21,22
Net Profit,122,117,143,126,148,146,154,139,164,170,182,171
EPS in Rs,15.38,14.74,18.02,15.93,18.69,18.5,19.42,17.59,20.71,21.48,22.91,21.6
Gross NPA %,1.04,1.09,0.94,1.01,1.08,1.14,1.08,1.22,1.24,1.19,1.05,1.11
Net NPA %,0.76,0.79,0.67,0.72,0.78,0.81,0.73,0.84,0.85,0.79,0.68,0.71
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,494,710,902,1103,1304,1608,2018,2355,2683,2765,,
Expenses,161,188,225,273,349,441,535,582,706,724,,
Financing Profit,139,266,321,372,477,576,654,765,882,925,,
Financing Margin %,28,38,36,34,37,36,32,32,33,33,,
Other Income,1,1,1,2,1,2,3,4,1,1,,
Interest,193,255,356,458,478,591,828,1007,1095,1116,,
Depreciation,6,10,20,21,24,29,33,36,43,45,,
Profit before tax,134,258,302,353,455,549,624,733,840,881,,
Tax %,31,32,18,18,22,22,21,22,22,—,,
Net Profit,93,176,249,290,357,430,491,574,655,687,,
EPS in Rs,13.46,22.52,31.81,36.88,45.2,54.4,62,72.53,82.6,86.7,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,58,69,78,78,78,79,79,79,79,79,,
Reserves,508,1121,1759,2020,2323,2730,3191,3694,4282,4972,,
Borrowing,1793,2755,3653,5382,6378,8012,9887,12412,13918,15686,,
Other Liabilities,91,95,137,177,181,200,254,334,339,476,,
Total Liabilities,2451,4040,5627,7657,8960,11020,13411,16519,18618,21212,,
Fixed Assets,10,18,23,60,58,66,78,116,134,169,,
CWIP,0,0,0,1,0,2,20,11,10,9,,
Investments,1,4,4,4,4,68,123,182,230,271,,
Other Assets,2440,4017,5599,7592,8897,10885,13189,16210,18244,20764,,
Total Assets,2451,4040,5627,7657,8960,11020,13411,16519,18618,21212,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-591,-933,-1276,-1172,-1071,-1136,-1920,-2001,-1660,-1386,,
Cash from Investing Activity,-15,-218,-327,-342,-265,-467,196,-646,176,-117,,
Cash from Financing Activity,640,1240,1404,1705,1008,1623,1858,2491,1475,1720,,
Net Cash Flow,34,90,-199,191,-328,20,134,-156,-9,217,,
Free Cash Flow,-598,-947,-1290,-1192,-1079,-1151,-1958,-2032,-1688,-1418,,
CFO/OP,-243,-268,-232,-164,-122,-111,-157,-126,-86,-62,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,15,11,12,13,13,14,14,14,14,14,,
