Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,110.71%,193.98%,644.84%
,ebitda margin growth,1.59%,4%,-1.95%,32.21%
,net income growth,1.41%,32.41%,28%,24%
,revenue growth,-6.84%,28.76%,27%,27%
,roce,1.27%,10.23%,5.98%,26.83%
,roe,1.41%,8.14%,21.62%,47.1%
