Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,115.02%,-33.6%,-47.99%
,ebitda margin growth,-33.26%,-6.87%,-24.33%,-59.86%
,net income growth,-44.66%,104.22%,23%,25%
,revenue growth,-34.47%,29.33%,16%,20%
,roce,-38.9%,26.85%,-22.14%,10.98%
,roe,-44.63%,97.12%,2.71%,-42.66%
