Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-33.61%,-120.76%,25.7%
,ebitda margin growth,-1.85%,-24.4%,-26.13%,-78.14%
,net income growth,1.13%,33.27%,0%,14.47%
,revenue growth,5.62%,50.81%,41%,55%
,roce,-0.81%,-25.19%,-28.23%,-28.72%
,roe,-1.12%,-25.64%,-27.78%,-23.33%
