Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,35.49%,18.96%,128.11%
,ebitda margin growth,207.6%,2.6%,-2.07%,-0.67%
,net income growth,124.92%,38.96%,20%,23%
,revenue growth,178.59%,31.78%,13%,20%
,roce,210.9%,37.74%,14.96%,1.26%
,roe,124.83%,48%,1.25%,35.78%
