Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,113.1%,145.35%,—
,ebitda margin growth,113.14%,6.94%,36.65%,-3.31%
,net income growth,182.07%,-14.81%,119%,21%
,revenue growth,6.98%,19.33%,20%,19%
,roce,126.47%,-32.6%,-10.54%,18.12%
,roe,182.1%,-29.99%,20.55%,75.64%
