Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,863,1070,814,353,266,204,395,146,98,81,83,189
Expenses,814,879,615,316,239,222,425,188,172,172,248,246
Operating Profit,49,191,199,38,27,-18,-31,-42,-74,-91,-166,-57
OPM %,6,18,24,11,10,-9,-8,-29,-75,-112,-200,-30
Other Income,-12,3,-114,19,14,-8,-119,32,71,19,129,49
Interest,10,8,10,11,15,8,12,7,18,19,21,26
Depreciation,51,53,15,16,16,16,16,16,16,18,18,17
Profit before tax,-24,133,60,30,9,-50,-177,-33,-37,-108,-76,-51
Tax %,36,40,66,42,69,-15,-24,-18,-51,-31,-107,-32
Net Profit,-33,80,21,17,3,-42,-135,-27,-18,-75,5,-35
EPS in Rs,-2.73,7.46,0.34,0.7,0.23,-3.63,-11.73,-2.28,-1.41,-6.52,0.97,-3.45
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3898,3944,3423,2617,4131,3832,1101,1219,407,450,,
Expenses,3092,2992,2855,2393,3687,3265,879,1203,775,837,,
Operating Profit,805,951,568,224,444,567,221,16,-368,-387,,
OPM %,21,24,17,9,11,15,20,1.3,-90,-86,,
Other Income,138,5673,14,43,51,101,-21,-94,246,268,,
Interest,212,102,87,71,52,34,30,46,64,83,,
Depreciation,199,193,229,231,231,196,59,64,68,69,,
Profit before tax,532,6330,267,-35,212,437,112,-188,-254,-272,,
Tax %,30,4,-35,-4,24,40,46,-16,-55,—,,
Net Profit,372,6063,360,-34,162,265,60,-157,-115,-122,,
EPS in Rs,33.27,542.81,32.7,-2.73,14.91,24.34,4.52,-14.44,-9.24,-10.41,,
Dividend Payout %,20,1,9,-37,27,21,111,-14,-27,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,112,112,112,112,112,112,112,112,112,112,,
Reserves,2370,2636,3182,3368,3393,3607,3775,3867,3729,3589,,
Borrowings,5700,4369,1020,1400,1049,1336,1059,2502,4997,5636,,
Other Liabilities,2154,3214,1861,1868,2141,2684,3465,4018,7646,10895,,
Total Liabilities,10336,10331,6175,6747,6693,7739,8411,10499,16483,20233,,
Fixed Assets,7309,7256,4430,4293,4139,4059,3952,3734,1437,1366,,
CWIP,34,35,275,176,210,211,190,58,26,19,,
Investments,258,223,183,107,238,409,228,692,1085,1512,,
Other Assets,2734,2817,1287,2171,2106,3060,4041,6015,13935,17336,,
Total Assets,10336,10331,6175,6747,6693,7739,8411,10499,16483,20233,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,940,2209,548,-23,566,-51,271,-315,-1293,747,,
Cash from Investing Activity,-247,-195,-123,-241,-92,-176,138,-524,-438,-588,,
Cash from Financing Activity,-175,-1795,-677,392,-471,207,-553,1272,2218,299,,
Net Cash Flow,518,219,-253,128,4,-21,-144,433,487,458,,
Free Cash Flow,794,2056,472,-225,481,-177,283,-490,-1413,661,,
CFO/OP,105,289,78,18,180,3,61,-81,-7452,-236,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,24,39,19,19,22,19,15,55,31,15,,
Inventory Days,232,328,174,362,486,429,716,—,—,—,,
Days Payable,129,190,130,133,200,158,173,—,—,—,,
Cash Conversion Cycle,126,178,64,248,308,290,558,55,31,15,,
Working Capital Days,-109,-182,-19,-16,54,-4,37,592,517,310,,
ROCE %,—,10,112,8,1,5,8,4,0,-4,,
