Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,139,133,155,156,183,169,173,188,202,205,219,231
Expenses,82,80,92,95,107,102,104,115,120,119,124,132
Operating Profit,57,52,63,61,76,67,69,74,82,86,96,99
OPM %,41,39,41,39,42,40,40,39,41,42,44,43
Other Income,7,3,3,4,5,5,5,7,6,5,2,9
Interest,6,6,6,6,6,7,7,7,8,9,9,11
Depreciation,14,15,16,17,17,18,19,21,22,24,24,25
Profit before tax,45,35,44,42,57,47,47,52,58,58,64,71
Tax %,25,25,23,25,26,24,26,26,25,26,25,25
Net Profit,34,26,34,32,42,35,35,39,43,43,48,53
EPS in Rs,3.26,2.53,3.27,3.06,4.1,3.43,3.4,3.76,4.21,4.2,4.66,5.16
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,251,293,339,377,462,459,548,681,814,857,,
Expenses,171,184,206,211,259,277,327,408,477,495,,
Operating Profit,80,108,133,166,204,182,221,273,337,362,,
OPM %,32,37,39,44,44,40,40,40,41,42,,
Other Income,7,10,15,12,13,14,19,17,21,22,,
Interest,5,14,15,15,16,21,24,27,33,37,,
Depreciation,26,40,49,50,53,62,57,71,92,96,,
Profit before tax,55,65,83,112,147,114,159,193,233,251,,
Tax %,37,29,25,24,25,25,25,26,26,—,,
Net Profit,35,46,63,85,111,85,120,144,173,187,,
EPS in Rs,77.44,101.29,138,18.64,10.76,8.29,11.61,14.01,16.81,18.23,,
Dividend Payout %,0,0,0,0,9,12,9,14,12,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,5,5,5,5,10,10,10,10,10,,,
Reserves,157,203,270,354,458,535,647,789,947,,,
Borrowings,33,146,161,141,183,248,259,320,423,,,
Other Liabilities,39,53,46,41,62,61,66,155,127,,,
Total Liabilities,234,406,482,541,713,853,983,1274,1507,,,
Fixed Assets,119,259,272,268,370,524,742,865,1069,,,
CWIP,3,3,10,9,34,28,9,70,35,,,
Investments,73,69,55,28,54,139,109,185,228,,,
Other Assets,39,76,146,236,255,163,123,154,174,,,
Total Assets,234,406,482,541,713,853,983,1274,1507,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,62,91,106,130,158,165,183,224,271,,,
Cash from Investing Activity,-98,-90,-31,-130,-123,-110,-141,-182,-174,,,
Cash from Financing Activity,-8,-7,-30,-49,-31,-42,-45,-52,-69,,,
Net Cash Flow,-44,-6,46,-49,4,13,-2,-9,27,,,
Free Cash Flow,32,31,69,98,37,40,99,132,91,,,
CFO/OP,103,101,98,97,97,105,98,97,96,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,12,11,9,6,8,8,11,8,9,,,
Inventory Days,24,20,23,17,22,13,29,21,19,,,
Days Payable,176,196,180,142,110,172,184,143,145,,,
Cash Conversion Cycle,-140,-165,-149,-118,-81,-152,-144,-114,-117,,,
Working Capital Days,-41,-51,-49,-26,-34,-36,-29,-48,-37,,,
ROCE %,—,28,23,27,28,18,20,21,21,,,
