Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,935,955,1052,903,1057,902,1006,679,799,832,875,765
Expenses,821,844,935,806,932,809,987,615,725,741,783,671
Operating Profit,115,111,118,97,125,94,18,64,74,91,92,94
OPM %,12,12,11,11,12,10,1.8,9,9,11,11,12
Other Income,7,14,12,12,10,23,-128,11,14,0,14,7
Interest,20,18,16,13,17,21,22,18,18,18,17,15
Depreciation,7,7,7,7,8,6,8,12,12,13,14,15
Profit before tax,95,100,108,90,111,89,-140,45,57,60,75,71
Tax %,25,25,27,26,27,29,-12,32,35,25,28,26
Net Profit,71,75,79,67,81,63,-124,31,37,45,54,53
EPS in Rs,5.55,5.56,5.86,4.98,5.99,4.66,-9.09,2.29,2.74,3.35,4.01,3.9
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1268,1559,1766,1521,1468,2780,3853,3868,3186,3272,,
Expenses,1365,1550,1645,1440,1303,2529,3404,3459,2855,2921,,
Operating Profit,-97,9,121,81,165,251,449,409,331,351,,
OPM %,-8,0.6,7,5,11,9,12,11,10,11,,
Other Income,25,25,-60,25,-61,34,38,75,-15,34,,
Interest,44,65,88,81,57,81,73,73,71,68,,
Depreciation,51,24,29,30,18,22,27,30,51,54,,
Profit before tax,-167,-56,-57,-6,29,181,386,382,194,263,,
Tax %,-12,-59,-36,237,102,31,26,28,37,—,,
Net Profit,-147,-23,-36,-19,-1,126,286,275,123,188,,
EPS in Rs,-12.43,-2.47,-2.96,-1.26,-0.03,10.89,21.25,20.52,9.13,14,,
Dividend Payout %,-2,-12,0,0,0,5,4,5,11,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,23,23,23,23,24,24,24,27,27,27,,
Reserves,944,832,793,743,817,818,940,2191,2456,2429,,
Borrowings,372,624,896,730,847,920,353,166,627,623,,
Other Liabilities,1356,1210,975,775,775,903,931,832,651,960,,
Total Liabilities,2695,2689,2687,2272,2462,2664,2248,3216,3761,4039,,
Fixed Assets,933,958,935,872,871,966,732,748,992,1394,,
CWIP,15,27,36,0,41,61,12,174,122,72,,
Investments,82,83,87,29,31,30,32,198,299,279,,
Other Assets,1665,1621,1630,1371,1518,1607,1472,2097,2348,2295,,
Total Assets,2695,2689,2687,2272,2462,2664,2248,3216,3761,4039,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-177,-121,-124,154,68,55,41,86,-97,322,,
Cash from Investing Activity,44,-45,-49,4,-60,-73,-61,-537,-579,-133,,
Cash from Financing Activity,111,191,214,-227,43,-53,67,724,372,-52,,
Net Cash Flow,-22,25,40,-70,51,-71,46,274,-304,137,,
Free Cash Flow,-199,-150,-188,129,9,-41,4,-78,-328,-45,,
CFO/OP,-154,104,-1161,136,82,40,43,41,0,118,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,50,79,81,52,136,58,37,50,63,72,,
Inventory Days,182,213,203,119,142,176,78,64,65,92,,
Days Payable,150,148,209,111,146,153,55,39,29,52,,
Cash Conversion Cycle,82,145,75,60,131,81,60,75,99,113,,
Working Capital Days,38,3,62,96,90,48,20,61,58,76,,
ROCE %,6,-8,1,7,5,9,18,25,17,11,,
