Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,89.23%,229.86%,—
,ebitda margin growth,3.03%,39.23%,163.36%,—
,net income growth,3.18%,102.73%,490%,86%
,revenue growth,11.79%,44.6%,31%,12%
,roce,—,31.14%,167.51%,25.61%
,roe,—,33.61%,31.57%,—
