Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1745,1969,2061,1853,1586,2025,2149,2099,1751,1871,1927,2137
Expenses,1026,1150,1307,1049,903,1041,1151,1147,826,849,844,985
Operating Profit,719,819,755,804,683,984,998,952,925,1022,1083,1153
OPM %,41,42,37,43,43,49,46,45,53,55,56,54
Other Income,130,109,443,119,166,5869,69,66,49,-2,50,35
Interest,435,433,615,439,434,461,458,462,451,436,406,438
Depreciation,233,251,274,255,231,265,286,269,262,289,321,333
Profit before tax,182,243,309,229,183,6127,323,286,261,295,406,417
Tax %,47,23,39,39,46,2,33,29,46,29,27,26
Net Profit,96,187,189,140,100,6026,215,202,141,211,296,306
EPS in Rs,0.08,0.16,0.16,0.12,0.08,4.99,0.18,0.17,0.12,0.17,0.25,0.25
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,5694,6707,6852,5299,5804,6402,7409,7613,7648,7686,,
Expenses,3005,3763,3887,2947,3229,3271,4387,4141,3641,3504,,
Operating Profit,2689,2944,2965,2352,2575,3130,3022,3472,4008,4182,,
OPM %,47,44,43,44,44,49,41,46,52,54,,
Other Income,295,196,252,189,552,300,793,6222,138,133,,
Interest,976,1126,1574,1697,1894,1521,1868,1795,1756,1731,,
Depreciation,544,540,468,582,683,832,995,1038,1142,1206,,
Profit before tax,1464,1473,1175,262,550,1077,951,6861,1248,1378,,
Tax %,37,42,39,55,34,33,36,6,32,—,,
Net Profit,920,850,721,117,361,720,606,6481,850,954,,
EPS in Rs,1.31,1.21,1.03,0.17,0.3,0.6,0.5,5.37,0.7,0.79,,
Dividend Payout %,19,10,24,0,0,17,30,3,15,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,351,351,351,351,351,604,604,604,604,604,,
Reserves,4920,5341,5964,6331,6549,11962,12775,13141,19223,20345,,
Borrowings,13963,13832,16599,9205,19219,16697,16748,18653,20599,20027,,
Other Liabilities,27406,20865,17549,23997,15052,13218,12575,12472,13423,13022,,
Total Liabilities,46641,40389,40464,39885,41171,42481,42703,44870,53849,53998,,
Fixed Assets,24388,31071,32943,27671,27102,27271,26480,25514,24616,23896,,
CWIP,6806,5648,3797,403,673,63,8,8,1,4,,
Investments,146,945,645,4146,4799,4904,5141,9642,17097,19328,,
Other Assets,15301,2724,3079,7666,8597,10243,11074,9706,12135,10770,,
Total Assets,46641,40389,40464,39885,41171,42481,42703,44870,53849,53998,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,3192,2132,2710,3709,867,364,1764,4054,1971,2098,,
Cash from Investing Activity,-2981,-2621,-4081,-4932,-8176,-1553,-650,-3644,375,-910,,
Cash from Financing Activity,-202,410,1438,1388,7520,589,-860,-477,-720,-2702,,
Net Cash Flow,9,-79,66,165,211,-601,253,-68,1627,-1513,,
Free Cash Flow,417,-1838,-1507,-1492,-6924,-1010,1354,3816,1776,1417,,
CFO/OP,116,98,104,138,46,22,63,142,62,54,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,4,8,6,23,23,62,93,37,16,7,,
Inventory Days,—,—,—,277,294,246,261,263,206,199,,
Days Payable,—,—,—,622,654,296,438,607,317,139,,
Cash Conversion Cycle,4,8,6,-321,-336,13,-84,-306,-95,67,,
Working Capital Days,-144,-394,-265,-563,-166,3,3,-54,-62,-57,,
ROCE %,12,12,12,14,9,9,9,9,8,7,,
