Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,58.86%,58.86%,58.86%,58.86%,58.86%,58.86%,58.86%,58.86%,58.86%,58.86%,58.86%,58.86%
FIIs,17.53%,19.2%,18.24%,18.08%,18.07%,17.8%,16.98%,17.16%,13.61%,14.46%,14.43%,13.75%
DIIs,13.01%,12.13%,13.13%,13.15%,13.45%,13.66%,14.51%,14.83%,19.03%,18.49%,19.14%,19.86%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,7.97%,7.88%,7.89%,7.92%,7.59%,7.69%,7.69%,7.3%,6.8%,6.69%,6.26%,6.17%
Others,2.63%,1.93%,1.88%,1.98%,2.02%,1.99%,1.95%,1.84%,1.7%,1.5%,1.31%,1.37%
No. of Shareholders,185976,195698,193157,203417,185024,190345,191741,191499,186948,182123,175946,172357
