Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,—,148.45%,50.62%
,ebitda margin growth,-6.51%,-16.02%,-25.53%,20.96%
,net income growth,-6.99%,111.61%,18%,21%
,revenue growth,-31.57%,70.58%,15%,12%
,roce,-6.91%,44.08%,-27.27%,13.7%
,roe,-6.99%,101.03%,8.49%,-38.68%
