Item,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,96.13%,72.3%,72.3%,71.27%
FIIs,0%,12.4%,11.56%,12.02%
DIIs,0%,12.74%,13.46%,13.11%
Government,0%,0%,0%,0%
Public,0%,1.86%,2.03%,2.68%
Others,3.87%,0.7%,0.65%,0.92%
No. of Shareholders,495,203128,194993,179493
