Item,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,86.93%,86.93%,86.93%,86.93%,86.93%,86.93%
FIIs,6.07%,5.87%,6.07%,6.03%,5.89%,5.36%
DIIs,4.62%,5.29%,5.04%,4.98%,4.89%,5.3%
Government,0%,0%,0%,0%,0%,0%
Public,2.2%,1.37%,1.58%,1.59%,1.75%,1.9%
Others,0.17%,0.53%,0.38%,0.47%,0.53%,0.5%
No. of Shareholders,116554,57139,48323,47170,48956,50411
