Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,89.57%,-107.77%,-106.09%
,ebitda margin growth,-20.3%,-364.75%,256.57%,1.63%
,net income growth,-54.79%,-45.9%,28%,-29%
,revenue growth,-18.46%,5.33%,-7%,0%
,roce,-32.77%,-57.97%,-160.42%,0.39%
,roe,-54.87%,-45.9%,-2%,-160%
