Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,14944,19452,17825,19571,16970,22111,22152,20496,18555,23472,22438,24584
Expenses,12744,14303,13832,14412,15338,16932,16062,15270,17976,18104,21628,21317
Operating Profit,2200,5149,3994,5159,1631,5179,6089,5226,580,5367,810,3267
OPM %,15,26,22,26,10,23,27,26,3.1,23,3.6,13
Other Income,559,610,680,678,789,882,946,1046,1044,-478,1142,1030
Interest,1021,1095,1099,1158,1240,1308,1374,1396,1465,1545,1485,1565
Depreciation,1549,1666,1803,1876,2088,2226,2491,2566,2640,2782,2820,2970
Profit before tax,189,2998,1771,2804,-907,2527,3169,2311,-2482,562,-2352,-238
Tax %,0,0,-7,3,9,3,3,6,4,2,8,0
Net Profit,189,2998,1895,2729,-987,2449,3068,2176,-2582,549,-2537,-238
EPS in Rs,4.9,77.68,49.09,70.7,-25.54,63.38,79.38,56.31,-66.79,14.22,-65.6,-6.14
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,23021,28497,35756,14641,25931,54446,68904,80803,84962,89050,,
Expenses,19991,28646,31666,14626,25356,47915,52548,62701,72925,79026,,
Operating Profit,3030,-149,4090,14,575,6531,16356,18102,12037,10024,,
OPM %,13,-0.5,11,0.1,2.2,12,24,22,14,11,,
Other Income,947,1325,1531,1037,726,1435,2327,3295,2755,2739,,
Interest,413,563,1902,2170,2386,3168,4208,5124,5944,6060,,
Depreciation,437,760,3974,4699,5069,5103,6426,8680,10808,11212,,
Profit before tax,3127,-147,-256,-5818,-6154,-304,8049,7593,-1960,-4510,,
Tax %,28,-207,-9,0,0,0,-2,4,22,—,,
Net Profit,2242,157,-234,-5806,-6162,-306,8172,7258,-2394,-4808,,
EPS in Rs,58.33,4.09,-6.07,-150.85,-159.94,-7.93,211.73,187.84,-61.87,-124.31,,
Dividend Payout %,10,122,0,0,0,0,0,5,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,361,384,384,385,385,385,386,386,386,387,,
Reserves,3418,6693,6561,5493,-274,-6373,-6638,1610,8982,6584,,
Borrowings,2596,2254,2429,22719,29860,36878,44860,51280,66810,77749,,
Other Liabilities,8834,11798,15651,13504,13081,15073,20562,28948,39666,51282,,
Total Liabilities,15210,21129,25026,42101,43051,45963,59170,82224,115844,136002,,
Fixed Assets,3794,4579,5662,16779,18817,21284,27658,36154,51782,63157,,
CWIP,25,32,24,140,72,125,21,1,3,59,,
Investments,3713,6344,6517,9499,7339,8106,11558,16546,26093,27675,,
Other Assets,7677,10174,12824,15682,16823,16447,19933,29524,37966,45111,,
Total Assets,15210,21129,25026,42101,43051,45963,59170,82224,115844,136002,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,3782,3903,3176,6972,-1614,2091,12728,21218,24151,23470,,
Cash from Investing Activity,-3033,-4151,-2526,-4574,3179,1504,-4043,-11812,-12758,-1943,,
Cash from Financing Activity,-1401,766,-592,-2407,-1775,-3088,-8432,-9979,-11015,-21276,,
Net Cash Flow,-652,518,58,-9,-210,506,253,-573,378,251,,
Free Cash Flow,4158,2683,1469,5910,-2035,1750,12163,20120,22558,21767,,
CFO/OP,190,153,-2197,178,-10784,398,201,133,136,197,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,3,4,5,3,5,5,3,3,3,3,,
Cash Conversion Cycle,3,4,5,3,5,5,3,3,3,3,,
Working Capital Days,-72,-70,-64,-147,-416,-287,-141,-144,-123,-129,,
ROCE %,—,40,0,5,-14,-13,7,24,17,5,,
