Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,212.14%,502.56%,153.67%
,ebitda margin growth,-45.05%,10.74%,13.2%,-9.51%
,net income growth,-36.83%,31.13%,21%,17%
,revenue growth,-33.18%,18.12%,26%,14%
,roce,-48.01%,-0.41%,13.28%,28.88%
,roe,-36.79%,3.84%,19.09%,-35.02%
