Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-86.91%,-47.22%,764.2%
,ebitda margin growth,16.36%,7.36%,12.13%,33.24%
,net income growth,13.27%,9.32%,18%,44%
,revenue growth,8.64%,0.28%,14%,12%
,roce,5.91%,-1.15%,0.5%,5.43%
,roe,13.27%,-1.05%,16.07%,96.46%
