Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-10.8%,495.23%,—
,ebitda margin growth,-1.73%,-2.32%,2.79%,-11.12%
,net income growth,-3.28%,7.87%,18%,19%
,revenue growth,13.85%,5.21%,27%,22%
,roce,2.64%,-8.15%,2.45%,5.72%
,roe,-3.28%,-4.62%,13.53%,-15.34%
