Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,273,296,313,336,373,406,415,454,477,482,501,538
Expenses,62,65,58,68,75,81,84,94,99,102,109,118
Financing Profit,95,101,109,112,123,132,141,159,176,186,197,211
Financing Margin %,35,34,35,33,33,33,34,35,37,39,39,39
Other Income,5,5,5,5,1,2,2,2,2,1,3,2
Interest,117,130,146,157,176,193,190,200,203,194,195,208
Depreciation,3,3,3,3,4,4,4,4,5,5,5,5
Profit before tax,96,103,111,114,120,130,138,156,173,183,195,208
Tax %,23,23,25,23,23,25,24,24,24,23,23,23
Net Profit,74,79,83,88,92,97,105,119,132,140,149,160
EPS in Rs,8.43,8.92,9.43,9.87,10.34,10.86,11.63,11.52,12.73,13.49,14.33,15.29
Gross NPA %,1.7,1.7,1.7,2.9,1.7,1.7,1.7,1.8,1.9,2,1.8,1.8
Net NPA %,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.4,1.5,1.6,1.4,1.4
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,145,264,411,489,596,796,1157,1539,1921,1999,,
Expenses,41,75,111,127,143,183,242,303,400,428,,
Financing Profit,38,63,106,142,234,304,412,517,725,770,,
Financing Margin %,26,24,26,29,39,38,36,34,38,39,,
Other Income,2,7,9,0,0,0,0,0,2,8,,
Interest,67,127,194,220,219,308,503,719,796,800,,
Depreciation,1,5,7,8,8,9,12,16,19,20,,
Profit before tax,38,65,107,134,226,295,400,502,708,759,,
Tax %,34,30,26,25,18,23,24,24,24,—,,
Net Profit,25,46,80,100,186,228,306,382,540,581,,
EPS in Rs,24.41,36.09,10.16,11.46,21.24,25.94,34.54,42.43,51.8,55.84,,
Dividend Payout %,0,0,0,0,0,10,10,9,10,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,10,10,13,16,17,18,18,18,18,21,,
Reserves,298,323,510,918,1363,1556,1800,2104,2503,4336,,
Borrowing,665,1022,1926,2494,3054,3467,4813,7302,9551,10590,,
Other Liabilities,18,17,33,53,76,76,108,110,140,220,,
Total Liabilities,990,1372,2482,3480,4510,5117,6739,9534,12212,15167,,
Fixed Assets,3,5,17,21,17,20,26,30,46,56,,
CWIP,0,1,0,0,0,0,0,0,0,0,,
Investments,0,0,103,146,375,0,281,379,360,812,,
Other Assets,988,1366,2361,3314,4118,5097,6432,9125,11805,14298,,
Total Assets,990,1372,2482,3480,4510,5117,6739,9534,12212,15167,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,—,—,—,-823,-223,-807,-1469,-1908,-2196,-1940,,
Cash from Investing Activity,—,—,—,-108,-615,804,-267,-217,0,-408,,
Cash from Financing Activity,—,—,—,893,900,411,1353,2470,2215,2198,,
Net Cash Flow,—,—,—,-38,62,408,-382,345,19,-150,,
Free Cash Flow,—,—,—,-827,-225,-810,-1476,-1916,-2208,-1949,,
CFO/OP,—,—,—,-267,-53,-169,-228,-199,-169,-119,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,4,8,11,11,9,13,13,16,16,16,,
