Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-514.05%,-214.17%,39.9%
,ebitda margin growth,16.31%,-242.2%,-526.61%,-137.47%
,net income growth,20.22%,-183.26%,34%,19%
,revenue growth,6.78%,21.85%,2%,25%
,roce,27.64%,-189.32%,-136.69%,-7.85%
,roe,20.22%,-177.83%,-3.89%,-120.28%
