Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,302,378,450,362,431,450,576,410,508,576,599,508
Expenses,248,282,316,277,324,337,398,310,383,421,452,400
Operating Profit,55,96,134,85,107,113,178,100,125,155,147,109
OPM %,18,25,30,23,25,25,31,24,25,27,25,21
Other Income,1,3,3,4,11,0,0,20,9,6,25,4
Interest,25,24,21,11,9,11,11,12,14,24,20,24
Depreciation,8,9,8,8,9,9,10,12,10,13,14,15
Profit before tax,23,67,108,70,99,93,156,96,109,124,138,73
Tax %,27,28,7,27,24,14,30,26,22,28,34,22
Net Profit,17,48,100,51,76,80,109,71,86,89,91,57
EPS in Rs,0.86,2.44,4.38,2.24,3.34,3.53,4.79,3.14,3.76,3.89,3.98,2.51
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Sales,965,687,532,746,929,1338,1818,2093,2191,,,
Expenses,874,680,507,674,852,1038,1327,1566,1656,,,
Operating Profit,92,7,25,73,77,301,491,527,535,,,
OPM %,9,1,4.7,10,8,22,27,25,24,,,
Other Income,55,44,10,4,54,6,5,60,44,,,
Interest,73,71,76,82,90,90,42,70,82,,,
Depreciation,36,37,38,36,34,33,36,50,53,,,
Profit before tax,38,-58,-79,-42,7,185,418,467,444,,,
Tax %,52,-13,-2,16,175,18,24,28,—,,,
Net Profit,18,-50,-77,-48,-5,151,316,336,322,,,
EPS in Rs,6.27,-17.07,-26.19,-16.38,-1.66,6.63,13.9,14.77,14.14,,,
Dividend Payout %,0,0,0,0,0,0,0,0,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,29,29,29,29,33,45,45,45,,,,
Reserves,216,160,77,12,49,1319,1641,1956,,,,
Borrowings,579,648,722,792,835,304,497,853,,,,
Other Liabilities,423,469,552,453,598,510,609,761,,,,
Total Liabilities,1247,1307,1381,1286,1515,2178,2792,3615,,,,
Fixed Assets,344,344,322,292,283,322,469,746,,,,
CWIP,34,56,54,5,15,58,184,89,,,,
Investments,1,0,2,2,3,4,0,16,,,,
Other Assets,868,906,1003,986,1214,1795,2139,2764,,,,
Total Assets,1247,1307,1381,1286,1515,2178,2792,3615,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,144,25,28,39,42,-48,-105,54,,,,
Cash from Investing Activity,54,-36,-18,-31,-32,-170,-329,-302,,,,
Cash from Financing Activity,-191,-2,-3,-15,3,505,145,287,,,,
Net Cash Flow,8,-13,7,-8,14,286,-289,39,,,,
Free Cash Flow,200,-11,14,-2,8,-163,-415,-269,,,,
CFO/OP,168,487,115,54,64,1,-4,34,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Debtor Days,66,105,149,98,57,68,98,104,,,,
Inventory Days,393,587,888,551,543,469,378,453,,,,
Days Payable,168,255,406,257,273,201,172,198,,,,
Cash Conversion Cycle,292,437,632,392,327,336,304,359,,,,
Working Capital Days,4,-34,-63,-67,-48,181,203,234,,,,
ROCE %,—,-2,0,5,8,21,24,21,,,,
