Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,37.37%,87.94%,35.04%
,ebitda margin growth,—,-54.63%,-50.51%,-63.43%
,net income growth,475.56%,-74.31%,-40%,-28%
,revenue growth,38.58%,2.58%,15%,9%
,roce,—,-58.15%,-70.18%,7.94%
,roe,-475.29%,-74.33%,5.66%,-77.04%
