Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,13.01%,9.78%,56.7%
,ebitda margin growth,71.26%,-4.88%,-6.53%,-7.41%
,net income growth,-20.85%,22.68%,-2%,3%
,revenue growth,-2.41%,0.47%,1%,3%
,roce,179.15%,-12.8%,-17.18%,12.47%
,roe,-20.85%,13.13%,17.86%,-18.23%
