Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-50.5%,107.47%,-69.06%
,ebitda margin growth,-19.55%,65.42%,61.7%,53.36%
,net income growth,-15.91%,4.72%,48%,66%
,revenue growth,-1.2%,35.57%,23%,30%
,roce,-17.26%,-40.97%,-36.34%,39.76%
,roe,-15.92%,-43.21%,27.1%,-41.95%
