Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,172.62%,43.73%,560.09%
,ebitda margin growth,-18.21%,4.35%,46.51%,38.7%
,net income growth,-19.23%,19.28%,26%,15%
,revenue growth,-12.37%,26.95%,6%,5%
,roce,-18.58%,2.33%,34.23%,24.83%
,roe,-19.22%,1.24%,19.89%,13.53%
