Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-161.4%,-170.43%,—
,ebitda margin growth,57.68%,5.34%,69.81%,16.35%
,net income growth,152.25%,50.49%,48%,35%
,revenue growth,30.02%,28.45%,18%,33%
,roce,83.58%,21.57%,102.19%,18.39%
,roe,152.28%,30.35%,9.59%,-17.98%
