Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-54.27%,-32.59%,-5.79%
,ebitda margin growth,25.25%,-2.42%,-4.82%,-7.84%
,net income growth,25.31%,14.73%,24%,12%
,revenue growth,14.42%,18.6%,13%,14%
,roce,28.76%,-2.32%,-1.84%,27.54%
,roe,25.32%,-3.91%,23.5%,6.87%
