Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2220,2311,2527,2794,3005,2340,3073,3800,3008,2618,3502,4431
Expenses,521,645,693,415,788,460,671,758,405,377,620,446
Operating Profit,1699,1666,1834,2379,2217,1880,2402,3042,2603,2241,2882,3985
OPM %,77,72,73,85,74,80,78,80,87,86,82,90
Other Income,353,264,234,271,294,280,39,189,158,208,117,230
Interest,1165,1242,1224,1426,1448,1251,1368,1525,1635,1698,1626,2001
Depreciation,474,481,497,596,621,618,663,767,834,886,885,1026
Profit before tax,413,207,347,628,442,291,410,939,292,-135,488,1188
Tax %,29,33,24,28,6,-37,29,25,-81,-27,11,22
Net Profit,371,256,310,629,515,474,383,824,644,5,514,983
EPS in Rs,2.35,1.62,0.95,2.82,1.74,3.11,1.45,4.39,3.54,-0.25,2.41,5.13
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1480,2058,2549,3124,5133,7792,9220,11212,12928,13559,,
Expenses,637,532,1099,883,1621,2822,1902,2323,2143,1848,,
Operating Profit,843,1526,1450,2241,3512,4970,7318,8889,10785,11711,,
OPM %,57,74,57,72,68,64,79,79,83,86,,
Other Income,42,73,-111,385,507,667,1262,1316,1072,713,,
Interest,552,1121,995,1953,2617,2911,5006,5492,6484,6960,,
Depreciation,543,1062,394,486,849,1300,1903,2498,3372,3631,,
Profit before tax,-210,-585,-50,187,553,1426,1671,2215,2001,1833,,
Tax %,-35,-19,22,6,12,32,25,10,1,—,,
Net Profit,-138,-475,-68,182,489,973,1260,2001,1987,2146,,
EPS in Rs,-1,-3.03,-0.15,1.34,3.13,6.15,6.94,9.12,10.03,10.83,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1274,1564,1564,1564,1564,1564,1584,1584,1584,1647,,
Reserves,-71,-223,369,792,636,1050,5720,8250,10553,18318,,
Borrowings,4347,9864,11142,14867,24209,52832,54223,64858,80040,103545,,
Other Liabilities,610,4503,1582,1201,2283,3508,5382,13394,18587,19478,,
Total Liabilities,6160,15709,14658,18424,28692,58954,66909,88086,110764,142988,,
Fixed Assets,4341,9120,10388,12554,16429,28452,48336,62284,79914,102138,,
CWIP,267,1725,743,1208,4452,19899,5291,6427,14480,19031,,
Investments,26,87,77,477,502,574,1149,1515,2743,2983,,
Other Assets,1525,4777,3449,4185,7309,10029,12133,17860,13627,18836,,
Total Assets,6160,15709,14658,18424,28692,58954,66909,88086,110764,142988,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,28,649,1625,1965,1601,3060,7265,7713,8364,10135,,
Cash from Investing Activity,-1511,-4428,-2666,-3743,-9137,-18663,-3857,-21060,-19828,-26227,,
Cash from Financing Activity,1559,3942,1045,2161,7083,15986,-2973,13953,12068,15615,,
Net Cash Flow,76,162,3,383,-453,383,435,606,604,-477,,
Free Cash Flow,-889,-3763,-1244,-1431,-4529,-11728,3927,-7987,-16397,-15857,,
CFO/OP,7,78,108,137,72,88,146,106,97,95,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,245,209,134,106,141,129,103,53,50,60,,
Inventory Days,—,—,383,—,—,—,—,—,—,—,,
Days Payable,—,—,455,—,—,—,—,—,—,—,,
Cash Conversion Cycle,245,209,63,106,141,129,103,53,50,60,,
Working Capital Days,-218,-678,-182,-193,-407,-572,-175,-905,-436,-369,,
ROCE %,2,4,4,8,10,8,8,10,9,7,,
