Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,92.04%,554.07%,-38.56%
,ebitda margin growth,-8.05%,3.5%,0.52%,-45.77%
,net income growth,-10.43%,42.2%,26%,-1%
,revenue growth,-15.53%,8.08%,2%,10%
,roce,-11.67%,7.92%,-3.6%,9.95%
,roe,-10.43%,38.71%,5%,-75.24%
