Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-12.2%,-1.97%,57.64%
,ebitda margin growth,15.82%,-20.7%,-18.9%,-34.32%
,net income growth,12.99%,-41.66%,-9%,4%
,revenue growth,10.12%,28.16%,21%,24%
,roce,13.91%,-37.79%,-44.77%,16.76%
,roe,12.99%,-44.84%,14.22%,-61.18%
