Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,3214,3534,3670,3784,4019,4098,4023,4260,4336,4578,4771,5213
Expenses,1331,1375,1619,1482,1575,1676,1581,1640,1662,1800,1890,1974
Financing Profit,557,806,716,950,968,853,842,984,1040,1075,1134,1269
Financing Margin %,17,23,20,25,24,21,21,23,24,23,24,24
Other Income,268,47,6,0,5,8,4,0,0,-25,0,30
Interest,1325,1353,1335,1351,1476,1569,1600,1636,1634,1703,1747,1970
Depreciation,28,29,28,28,33,36,41,41,51,58,60,63
Profit before tax,797,824,694,922,940,824,806,943,989,992,1074,1236
Tax %,25,22,20,26,26,24,21,26,26,26,25,26
Net Profit,594,639,553,685,697,626,636,701,735,738,809,916
EPS in Rs,2.4,2.57,2.23,2.75,2.79,2.51,2.55,2.81,2.94,2.95,3.22,3.6
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,10215,13365,14104,13353,11930,12775,14252,15924,17914,18898,,
Expenses,3308,3377,4160,5401,5233,7935,6195,6304,6946,7326,,
Financing Profit,1449,3105,2392,722,932,-972,2670,3614,4234,4518,,
Financing Margin %,14,23,17,5,8,-8,19,23,24,24,,
Other Income,49,-4,370,836,594,2792,474,16,-26,5,,
Interest,5458,6882,7552,7230,5765,5812,5387,6007,6734,7054,,
Depreciation,52,50,82,86,103,111,115,139,210,232,,
Profit before tax,1446,3052,2680,1472,1423,1709,3029,3491,3998,4291,,
Tax %,12,27,37,36,26,10,24,24,25,—,,
Net Profit,1278,2232,1700,949,1049,1536,2317,2643,2983,3198,,
EPS in Rs,5.11,9.06,6.9,3.93,4.33,6.55,9.32,10.6,11.9,12.71,,
Dividend Payout %,16,9,11,0,12,31,27,26,23,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1756,1996,1999,2005,2469,2474,2480,2489,2495,2504,,
Reserves,6138,9411,11450,12688,16304,17474,19049,20950,23069,25479,,
Borrowing,61024,75248,91507,93934,88592,85237,83105,76603,92372,110298,,
Other Liabilities,3593,1117,1094,902,1582,1696,1706,2652,2447,3903,,
Total Liabilities,72511,87772,106050,109529,108947,106880,106339,102694,120384,142184,,
Fixed Assets,1230,1151,1127,1100,1138,509,553,519,641,1308,,
CWIP,28,19,39,62,24,22,5,36,45,62,,
Investments,6012,5301,8641,5979,8872,11917,14366,12385,11876,10564,,
Other Assets,65242,81301,96243,102387,98912,94433,91415,89754,107822,130250,,
Total Assets,72511,87772,106050,109529,108947,106880,106339,102694,120384,142184,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-5779,-15640,-11643,2162,5464,6078,7490,686,-16587,-14189,,
Cash from Investing Activity,-2118,1549,-3587,160,-2025,-5087,-1634,849,472,367,,
Cash from Financing Activity,7952,14678,16008,1451,-2091,-3023,-1664,-7050,15419,15415,,
Net Cash Flow,55,587,777,3772,1349,-2032,4193,-5515,-697,1593,,
Free Cash Flow,-5781,-15614,-11723,2108,5415,6001,7394,568,-16777,-14427,,
CFO/OP,-91,-217,-109,30,72,96,178,102,-165,-120,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,14,13,18,12,4,4,0,10,11,11,,
