Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1367,1174,1702,1078,1072,1464,1460,1281,1383,1575,1458,1116
Expenses,1042,912,1270,785,780,1050,1044,958,1056,1164,1093,755
Operating Profit,325,262,433,293,292,414,416,323,328,411,365,361
OPM %,24,22,25,27,27,28,28,25,24,26,25,32
Other Income,41,34,60,36,66,66,72,52,46,29,72,107
Interest,110,135,138,152,123,114,107,106,102,90,112,109
Depreciation,76,82,76,68,69,76,76,76,76,80,80,73
Profit before tax,180,79,279,108,166,289,306,194,196,270,245,285
Tax %,38,30,24,26,31,18,18,18,13,24,22,24
Net Profit,112,56,211,81,115,236,249,158,170,206,191,217
EPS in Rs,4.34,2.39,6.69,2.72,3.65,7.25,7.58,4.6,4.98,5.72,4.46,6.14
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1897,2973,2632,1950,2999,3445,4897,5074,5697,5532,,
Expenses,1341,2174,1965,1474,2229,2578,3695,3654,4264,4068,,
Operating Profit,557,799,667,476,770,866,1202,1421,1433,1464,,
OPM %,29,27,25,24,26,25,25,28,25,26,,
Other Income,36,47,27,-17,9,161,160,233,193,254,,
Interest,259,278,340,347,444,434,491,495,409,413,,
Depreciation,138,140,192,237,351,315,302,289,312,310,,
Profit before tax,196,427,161,-125,-15,278,569,869,904,995,,
Tax %,32,34,29,-23,331,20,29,22,20,—,,
Net Profit,133,282,114,-96,-65,222,401,680,725,784,,
EPS in Rs,5.12,8.81,4.79,-1.65,2.7,9.47,14.66,21.05,19.76,21.3,,
Dividend Payout %,20,11,31,-55,42,16,10,9,8,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,114,136,136,204,211,230,231,231,244,245,,
Reserves,1581,2151,2033,2077,2137,2680,3014,3418,5394,6576,,
Borrowings,2576,3390,3785,4522,5005,4906,4634,5470,5464,6344,,
Other Liabilities,2079,2133,4845,5448,6461,7285,8486,8740,10973,13040,,
Total Liabilities,6350,7810,10800,12251,13814,15101,16365,17860,22076,26204,,
Fixed Assets,1431,1805,2277,2998,5020,4905,4681,4593,6899,8537,,
CWIP,1564,2129,2010,2097,495,541,740,1232,138,222,,
Investments,54,236,98,72,89,509,62,50,43,62,,
Other Assets,3302,3640,6416,7083,8210,9147,10882,11985,14995,17383,,
Total Assets,6350,7810,10800,12251,13814,15101,16365,17860,22076,26204,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,398,49,467,465,803,1032,966,334,995,-137,,
Cash from Investing Activity,-335,-1084,-452,-717,-748,-971,-271,-379,-590,-1436,,
Cash from Financing Activity,-58,1032,45,321,30,33,-695,241,860,942,,
Net Cash Flow,5,-4,60,69,84,94,1,195,1265,-631,,
Free Cash Flow,29,-865,-133,-268,336,824,701,66,358,-1871,,
CFO/OP,82,26,72,79,180,148,130,48,93,26,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,7,34,52,60,99,61,49,37,45,38,,
Inventory Days,3244,3898,2040,3653,9712,8486,—,2498,4142,4667,,
Days Payable,740,942,258,351,949,885,—,245,366,361,,
Cash Conversion Cycle,2511,2991,1834,3362,8861,7662,49,2290,3821,4345,,
Working Capital Days,0,59,66,41,-64,-57,-61,-24,-65,26,,
ROCE %,11,9,12,8,4,6,8,13,13,11,,
