Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,175,175,177,229,234,228,213,265,286,279,277,313
Expenses,100,97,106,133,132,124,125,139,152,150,194,205
Operating Profit,75,78,71,96,102,104,89,125,134,130,83,108
OPM %,43,44,40,42,44,46,42,47,47,46,30,35
Other Income,6,4,12,7,6,6,18,9,9,16,67,109
Interest,2,2,2,1,3,4,4,4,5,4,3,4
Depreciation,3,4,4,4,5,5,6,6,7,7,8,8
Profit before tax,76,76,77,97,101,102,98,124,130,134,138,206
Tax %,26,26,28,26,25,26,26,26,26,26,26,21
Net Profit,57,57,56,72,75,76,72,92,97,100,102,163
EPS in Rs,3.39,3.41,3.32,4.36,4.52,4.56,4.36,5.56,5.85,6.01,6.16,9.83
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,214,275,327,260,408,538,720,943,1208,1156,,
Expenses,136,180,213,185,230,296,400,514,636,701,,
Operating Profit,78,95,114,75,178,242,320,429,572,455,,
OPM %,36,35,35,29,44,45,44,45,47,39,,
Other Income,6,6,1,2,1,0,0,1,0,200,,
Interest,9,3,3,3,2,4,6,11,16,15,,
Depreciation,4,4,16,12,11,12,14,20,29,30,,
Profit before tax,71,94,96,62,166,226,300,398,527,609,,
Tax %,29,30,26,29,24,26,26,26,26,—,,
Net Profit,50,65,71,44,125,168,221,295,391,462,,
EPS in Rs,9.36,6.06,6.59,4.02,7.54,10.08,13.23,17.8,23.58,27.85,,
Dividend Payout %,0,0,0,31,36,30,26,39,28,—,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,0.19,13,13,14,14,21,21,21,42,42,,
Reserves,6,76,141,212,266,360,484,661,661,984,,
Borrowings,0,1,1,42,33,39,36,51,79,83,,
Other Liabilities,0,79,58,162,49,82,102,160,187,224,,
Total Liabilities,7,169,213,429,362,501,644,894,969,1332,,
Fixed Assets,0,9,9,32,20,93,110,131,172,180,,
CWIP,0,0,0,65,69,0,0,1,0,0,,
Investments,4,62,129,193,194,193,195,202,320,316,,
Other Assets,3,98,75,139,79,215,338,559,477,836,,
Total Assets,7,169,213,429,362,501,644,894,969,1332,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,0,97,57,143,-24,147,109,267,352,254,,
Cash from Investing Activity,0,-91,-43,-156,52,-79,-44,-233,-67,89,,
Cash from Financing Activity,0,-7,-3,28,-17,-49,-64,-72,-282,-142,,
Net Cash Flow,0,-2,11,15,12,19,0,-37,3,200,,
Free Cash Flow,0,93,34,92,-29,129,97,262,316,240,,
CFO/OP,0,150,97,143,0,122,65,98,106,67,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,248,18,12,9,14,13,11,14,13,13,,
Cash Conversion Cycle,248,18,12,9,14,13,11,14,13,13,,
Working Capital Days,816,22,-36,-48,-24,26,100,192,106,122,,
ROCE %,—,—,79,47,22,46,48,48,54,57,,
