Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,22.2%,24.88%,101.85%
,ebitda margin growth,42.51%,-22.04%,-27.05%,15.44%
,net income growth,96.84%,-27.38%,-4%,15%
,revenue growth,5.38%,3.9%,11%,12%
,roce,122.27%,-36.29%,-44.64%,20.58%
,roe,96.84%,-35.57%,15.83%,-4.31%
