Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,3334,3126,3636,3154,2960,3211,3223,3370,2988,2976,2614,2671
Expenses,3002,2751,3282,2801,2615,2847,2930,2935,2660,2565,2571,2420
Operating Profit,332,374,355,353,344,364,294,435,329,410,43,251
OPM %,10,12,10,11,12,11,9,13,11,14,1.6,9
Other Income,100,56,173,59,130,121,164,49,113,-27,163,56
Interest,157,129,176,147,164,169,150,162,170,167,175,173
Depreciation,114,124,146,130,120,117,124,139,122,93,100,84
Profit before tax,160,178,207,135,191,200,184,183,149,123,-69,51
Tax %,35,39,30,32,29,26,40,25,30,21,29,40
Net Profit,104,110,145,92,135,149,111,137,105,97,-89,30
EPS in Rs,14.47,15.24,4.25,2.69,3.97,4.05,3.02,3.74,2.87,2.64,-2.4,0.83
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,9934,9376,11019,12637,13268,12548,11948,11249,,,,
Expenses,9113,8505,10076,11305,11890,11187,10708,10216,,,,
Operating Profit,821,870,943,1333,1377,1361,1241,1033,,,,
OPM %,8,9,9,11,10,11,10,9,,,,
Other Income,186,138,244,185,367,469,274,304,,,,
Interest,391,468,425,447,577,629,674,685,,,,
Depreciation,240,250,355,472,495,491,454,399,,,,
Profit before tax,376,290,407,599,673,710,387,254,,,,
Tax %,34,42,12,31,33,31,35,—,,,,
Net Profit,248,170,358,411,450,487,251,144,,,,
EPS in Rs,34.12,23.2,49.51,57.09,13.2,13.24,6.84,3.94,,,,
Dividend Payout %,10,15,7,7,19,19,29,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,72,72,72,72,341,368,368,,,,,
Reserves,1721,1868,2190,2654,3255,4893,5082,,,,,
Borrowings,2118,2066,2073,2062,2523,2343,3627,,,,,
Other Liabilities,9186,8484,8638,9513,10114,9515,10054,,,,,
Total Liabilities,13097,12490,12974,14301,16234,17119,19131,,,,,
Fixed Assets,1938,2003,2318,2498,2784,2738,2499,,,,,
CWIP,18,146,18,184,43,33,901,,,,,
Investments,0,0,1,0,1,1,1,,,,,
Other Assets,11141,10341,10638,11619,13406,14348,15730,,,,,
Total Assets,13097,12490,12974,14301,16234,17119,19131,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,1050,929,610,1215,707,-132,-127,,,,,
Cash from Investing Activity,-390,-275,-255,-861,-859,-131,-400,,,,,
Cash from Financing Activity,-455,-564,-521,-483,246,290,473,,,,,
Net Cash Flow,205,90,-165,-128,94,27,-54,,,,,
Free Cash Flow,651,441,259,306,25,-470,-491,,,,,
CFO/OP,143,112,77,99,70,8,9,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,91,100,76,63,86,81,105,,,,,
Inventory Days,146,135,146,150,148,112,130,,,,,
Days Payable,458,427,310,332,393,393,519,,,,,
Cash Conversion Cycle,-222,-192,-88,-119,-160,-200,-283,,,,,
Working Capital Days,8,-1,2,10,12,65,63,,,,,
ROCE %,—,19,20,23,23,20,14,,,,,
