Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,8.16%,318.35%,-34.56%
,ebitda margin growth,7.77%,1.48%,7.65%,30.98%
,net income growth,5.79%,11.21%,28%,30%
,revenue growth,3.63%,8.72%,14%,12%
,roce,4.16%,-2.38%,5.5%,5.03%
,roe,5.79%,-0.65%,14.71%,71.96%
