Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-14.02%,19.27%,151.54%
,ebitda margin growth,-19.11%,-11.66%,-3.66%,5.28%
,net income growth,-28.59%,-24.08%,21%,37%
,revenue growth,-2.31%,8.84%,24%,26%
,roce,-25.72%,-40.02%,-33.93%,27%
,roe,-28.57%,-37.7%,24.82%,-13.86%
