Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,698,839,914,958,1108,1074,1153,1330,1538,1701,1637,1836
Expenses,637,742,803,776,903,894,900,943,1142,1246,1192,1375
Operating Profit,61,97,111,182,205,180,252,388,396,455,445,461
OPM %,9,12,12,19,18,17,22,29,26,27,27,25
Other Income,9,-4,6,12,4,26,21,16,19,-51,43,42
Interest,7,7,3,2,3,4,6,3,2,3,7,3
Depreciation,13,12,12,12,12,12,11,11,12,12,12,12
Profit before tax,50,73,101,180,194,190,256,390,401,390,469,487
Tax %,26,32,34,25,25,25,27,25,25,25,25,25
Net Profit,37,49,66,135,145,143,186,291,299,291,352,363
EPS in Rs,1.45,1.93,2.59,5.25,5.65,5.57,7.28,11.37,11.7,11.36,13.74,14.18
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4332,4219,3159,3452,3066,2773,3168,4292,6206,6712,,
Expenses,4057,3765,3354,3282,3155,2652,2836,3461,4500,4956,,
Operating Profit,275,454,-195,171,-89,121,332,831,1706,1757,,
OPM %,6,11,-6,4.9,-2.9,4.4,10,19,28,26,,
Other Income,239,49,5,69,136,22,22,62,25,53,,
Interest,106,85,87,84,59,61,41,27,35,15,,
Depreciation,90,83,78,66,58,55,50,47,46,47,,
Profit before tax,319,335,-356,89,-69,27,263,820,1650,1747,,
Tax %,35,36,-15,32,-29,106,31,26,25,—,,
Net Profit,209,213,-303,60,-50,-1,181,608,1233,1305,,
EPS in Rs,8.15,8.31,-11.82,2.36,-1.94,-0.06,7.07,23.76,48.17,50.98,,
Dividend Payout %,22,22,0,0,0,0,28,21,21,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,51,51,51,51,51,51,51,51,51,51,,
Reserves,982,1138,1377,1000,1071,1029,1022,1192,1722,2639,,
Borrowings,518,100,81,599,316,226,273,42,35,24,,
Other Liabilities,3563,3479,2688,2503,2664,2461,2333,2300,2853,5025,,
Total Liabilities,5114,4769,4196,4154,4102,3767,3679,3584,4661,7739,,
Fixed Assets,656,586,513,538,494,457,421,401,379,412,,
CWIP,25,18,5,12,22,9,9,11,47,65,,
Investments,0,0,0,0,0,0,0,0,0,0,,
Other Assets,4433,4165,3679,3604,3587,3302,3250,3173,4234,7262,,
Total Assets,5114,4769,4196,4154,4102,3767,3679,3584,4661,7739,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,188,1054,-355,-260,311,8,-37,518,904,1710,,
Cash from Investing Activity,-47,-306,287,-30,12,116,3,-172,-495,-509,,
Cash from Financing Activity,-131,-585,-114,290,-324,-102,9,-259,-69,-147,,
Net Cash Flow,11,163,-182,0,-1,22,-26,87,339,1054,,
Free Cash Flow,142,1043,-362,-292,324,-17,-54,489,816,1521,,
CFO/OP,373,433,-51,99,194,-35,-7,162,133,129,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,205,152,175,219,201,186,204,166,125,128,,
Inventory Days,542,234,136,177,143,159,119,103,100,132,,
Days Payable,805,389,247,272,275,283,197,156,146,170,,
Cash Conversion Cycle,-58,-4,63,125,69,62,127,114,79,90,,
Working Capital Days,-2,-18,48,20,23,13,20,29,35,6,,
ROCE %,7,30,31,-14,11,-9,8,23,55,77,,
