Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,79.63%,38.95%,—
,ebitda margin growth,-24.39%,-22.57%,-21.01%,-16.92%
,net income growth,-353.63%,-28.69%,-8%,0%
,revenue growth,208.65%,5.46%,12%,16%
,roce,-99.68%,-66.2%,-69.54%,17.21%
,roe,-353.69%,-70.76%,11.6%,-73.61%
