Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-45.31%,11.35%,167.85%
,ebitda margin growth,1.66%,-43.62%,-5.45%,-130.88%
,net income growth,-13.55%,-38.74%,127%,36%
,revenue growth,9.8%,21.1%,33%,36%
,roce,—,-57.29%,-43.69%,0.09%
,roe,—,-39.05%,3.95%,-108.88%
