Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,6114,4396,7448,6263,6174,4114,8054,7233
Expenses,5357,4055,6400,5547,5626,3918,7108,6329
Operating Profit,757,340,1048,716,548,196,945,904
OPM %,12,8,14,11,9,4.8,12,12
Other Income,67,79,67,74,80,76,101,95
Interest,7,9,9,8,9,9,14,9
Depreciation,97,90,97,90,93,111,102,112
Profit before tax,720,321,1010,692,525,152,931,878
Tax %,26,27,25,26,26,41,26,26
Net Profit,536,233,755,513,389,90,693,653
EPS in Rs,—,3.44,11.12,7.56,5.74,1.32,10.21,9.62
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
---,---,---,---,---,---,---,---,---
Sales,15710,15087,16834,19865,21352,24367,24605,25575
Expenses,13241,12732,15124,17963,19123,21252,22192,22982
Operating Profit,2469,2355,1711,1901,2229,3115,2413,2593
OPM %,16,16,10,10,10,13,10,10
Other Income,300,33,173,241,205,264,328,351
Interest,6,20,24,25,32,35,45,41
Depreciation,242,244,258,300,364,380,396,418
Profit before tax,2521,2124,1601,1817,2037,2963,2300,2486
Tax %,26,28,27,26,26,26,27,—
Net Profit,1854,1529,1175,1345,1511,2203,1685,1825
EPS in Rs,—,—,—,—,—,32.46,24.83,26.89
Dividend Payout %,0,87,193,185,138,0,0,—
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Equity Capital,113,113,113,113,113,679,679,
Reserves,6279,6473,5388,4243,3659,5291,6987,
Borrowings,0,0,0,318,370,428,459,
Other Liabilities,2810,4472,3918,4321,4356,5119,5512,
Total Liabilities,9202,11059,9419,8995,8498,11517,13636,
Fixed Assets,835,1049,1048,1343,1319,1329,1560,
CWIP,85,34,103,25,24,75,458,
Investments,0,0,0,0,0,0,0,
Other Assets,8282,9976,8269,7628,7155,10113,11618,
Total Assets,9202,11059,9419,8995,8498,11517,13636,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Cash from Operating Activity,—,2043,598,1871,1665,1654,1721,
Cash from Investing Activity,—,30,-73,-274,-20,-29,-859,
Cash from Financing Activity,—,-1373,-2326,-2561,-2185,-106,-127,
Net Cash Flow,—,700,-1801,-964,-540,1519,735,
Free Cash Flow,—,1868,328,1357,1425,1319,549,
CFO/OP,—,111,58,122,100,77,97,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,
---,---,---,---,---,---,---,---,
Debtor Days,12,26,30,28,31,35,42,
Inventory Days,80,99,75,69,59,67,63,
Days Payable,76,125,80,80,73,74,75,
Cash Conversion Cycle,16,0,24,17,17,28,30,
Working Capital Days,11,-1,12,4,4,14,16,
ROCE %,—,35,27,36,47,57,32,
